Column1;Title;Price;Address;Suburb;Type;bedroom;bathroom;lat;lon;garage
242;2 Bed Apartment in White River; 820 000;56 Matsefeni Lifestyle Centre 90 Outeniqua Street;White River;Apartment;2;2;-25.332189982445996;30.9972299593488;
243;2 Bed Apartment in White River; 825 000;26 Matsefeni;White River;Apartment;2;2;-25.326269999999965;31.022020000000055;
244;2 Bed Apartment in White River Central; 865 000;8 Palmhof 17 Petergraham Street;White River;Apartment;2;1;-25.327299980133446;31.01917998447044;
245;8 Bed House in White River Central; 3 200 000;9 John Barker Street;White River;House;8;8;-25.330290014543706;31.0071699745055;4
246;10 Bed House in White River; 5 690 000;11 Jakaranda Street;White River;House;10;10;-25.32891999246968;31.005059998019163;2
247;230 m� Land available in White River; 400 000;White River;White River;Land;;;;;
248;1 Bed Apartment in White River Central; 415 000;3 Joe Hanna;White River;Apartment;1;1;-25.328169979773534;31.0172199602319;
249;595 m� Land available in White River; 440 000;White River;White River;Land;;;;;
250;603 m� Land available in White River; 440 000;White River;White River;Land;;;;;
251;742 m� Land available in White River; 459 500;White River;White River;Land;;;;;
252;1 Bed Apartment in White River; 516 000;White River;White River;Apartment;1;1;;;
253;899 m� Land available in White River; 545 000;White River;White River;Land;;;;;
254;1 Bed Apartment in White River; 550 000;White River;White River;Apartment;1;1;;;
255;1 ha Land available in White River; 550 000;White River;White River;Land;;;;;
256;1140 m� Land available in White River; 550 000;White River;White River;Land;;;;;
257;1 Bed Apartment in White River; 560 000;White River;White River;Apartment;1;1;;;
258;2 Bed Apartment in White River; 599 000;White River;White River;Apartment;2;1;;;
259;782 m� Land available in White River; 605 000;White River;White River;Land;;;;;
260;2 Bed Apartment in White River Central; 650 000;White River;White River;Apartment;2;2;;;
261;686 m� Land available in White River; 650 000;White River;White River;Land;;;;;
262;2 Bed Apartment in White River; 670 000;White River;White River;Apartment;2;1;;;
263;2 Bed Apartment in White River Central; 710 000;White River;White River;Apartment;2;1;;;
264;2 Bed Apartment in White River; 720 000;White River;White River;Apartment;2;2;;;
265;4.6 ha Land available in White River; 740 000;White River;White River;Land;;;;;
266;2 Bed Apartment in White River Central; 750 000;White River;White River;Apartment;2;1;;;1
267;1 ha Land available in White River; 750 000;White River;White River;Land;;;;;
268;2 Bed Apartment in White River; 750 000;White River;White River;Apartment;2;2;;;
269;2 Bed Apartment in White River Central; 755 000;White River;White River;Apartment;2;1;;;2
270;2 Bed Apartment in White River; 785 000;White River;White River;Apartment;2;1;;;
271;2 Bed Apartment in White River; 806 250;White River;White River;Apartment;2;2;;;
272;2 Bed Apartment in White River; 817 000;83 Matsefeni Outeniqua Street;White River;Apartment;2;1;-25.328440002784333;30.998599981422814;
273;2 Bed Apartment in White River Central; 830 000;White River;White River;Apartment;2;2;;;
274;2 Bed Apartment in White River; 830 000;White River;White River;Apartment;2;2;;;
275;2 Bed Apartment in White River; 835 000;White River;White River;Apartment;2;2;;;
276;2 Bed House in White River Central; 845 000;White River;White River;House;2;2;;;
277;2 Bed House in White River; 869 000;White River;White River;House;2;1;;;
278;3 Bed House in White River Central; 920 000;White River;White River;House;3;1;;;1
279;2 Bed House in White River;;4 Senator Street;White River;House;2;1;-25.326269999999965;31.022020000000055;
280;1 ha Land available in Likweti Bushveld Farm Estate; 1 100 000;White River;White River;Land;;;;;
281;1 ha Land available in Likweti Bushveld Farm Estate; 1 100 000;White River;White River;Land;;;;;
282;1 ha Land available in Likweti Bushveld Farm Estate; 1 100 000;White River;White River;Land;;;;;
283;1.4 ha Land available in Likweti Bushveld Farm Estate; 1 100 000;White River;White River;Land;;;;;
284;5 Bed House in White River;;White River;White River;House;5;3;;;
285;1 Bed House in White River; 1 150 000;White River;White River;House;1;1;;;1
286;3 Bed Townhouse in White River; 1 170 000;White River;White River;Townhouse;3;1;;;1
287;3 Bed Townhouse in White River; 1 175 000;White River;White River;Townhouse;3;1;;;1
288;3 Bed Townhouse in White River; 1 175 000;White River;White River;Townhouse;3;1;;;1
289;1 ha Land available in White River; 1 200 000;White River;White River;Land;;;;;
290;3 Bed Townhouse in White River; 1 215 000;White River;White River;Townhouse;3;1;;;1
291;2 Bed House in White River; 1 215 000;Mimosa;White River;House;2;1;-25.321202864210942;31.01040626594687;1
292;3 Bed Townhouse in White River; 1 220 000;White River;White River;Townhouse;3;1;;;1
293;1 ha Land available in White River; 1 250 000;White River;White River;Land;;;;;
294;1 ha Land available in White River; 1 250 000;White River;White River;Land;;;;;
295;3 Bed House in White River; 1 250 000;White River;White River;House;3;2;;;
296;3 Bed House in White River Central; 1 295 000;White River;White River;House;3;1;;;
297;3 Bed House in White River; 1 300 000;White River;White River;House;3;2;;;
298;1 ha Farm in White River; 1 350 000;1 R538;White River;Farm;3;3;-25.319815403624933;31.049494951107338;2
299;3 Bed House in White River;;White River;White River;House;3;2;;;
300;3 Bed House in White River Central; 1 480 000;White River;White River;House;3;2.5;;;2
301;3 Bed House in White River; 1 595 000;White River;White River;House;3;2;;;2
302;3 Bed House in White River; 1 595 000;White River;White River;House;3;2;;;2
303;3 Bed House in White River;;White River;White River;House;3;2;;;
304;3 Bed House in White River; 1 620 000;White River;White River;House;3;2;;;1
305;3 Bed House in White River; 1 625 000;White River;White River;House;3;3;;;1
306;4 Bed House in White River Central; 1 695 000;White River;White River;House;4;3;;;2
307;4185 m� Land available in White River; 1 700 000;White River;White River;Land;;;;;
308;3 Bed House in White River; 1 720 000;White River;White River;House;3;2;;;1
309;4 Bed House in White River; 1 740 000;White River;White River;House;4;4;;;2
310;4 Bed House in White River; 1 780 000;White River;White River;House;4;2;;;2
311;4 Bed House in Parkville; 1 795 000;White River;White River;House;4;2;;;2
312;4 Bed House in White River; 1 900 000;White River;White River;House;4;4;;;2
313;4 Bed House in White River; 1 979 000;White River;White River;House;4;3;;;1
314;5 Bed House in White River; 2 075 000;White River;White River;House;5;4;;;2
315;5 Bed House in White River; 2 095 000;White River;White River;House;5;4;;;
316;3 Bed House in White River; 2 095 000;White River;White River;House;3;3;;;2
317;3 Bed House in White River; 2 100 000;White River;White River;House;3;2;;;2
318;3 Bed Townhouse in White River; 2 300 000;White River;White River;Townhouse;3;3;;;1
319;4 Bed House in White River; 2 300 000;White River;White River;House;4;2;;;2
320;3 Bed House in White River; 2 345 000;White River;White River;House;3;2;;;2
321;3 Bed House in White River; 2 395 000;White River;White River;House;3;2;;;2
322;3 Bed House in White River; 2 395 000;White River;White River;House;3;2;;;2
323;3 Bed House in White River; 2 445 000;White River;White River;House;3;3;;;2
324;4 Bed House in White River; 2 460 000;White River;White River;House;4;3;;;
325;5 Bed House in White River; 2 680 000;White River;White River;House;5;5;;;2
326;5 ha Farm in White River; 2 730 000;White River;White River;Farm;;;;;
327;5 Bed House in White River; 2 750 000;White River;White River;House;5;3;;;2
328;64 ha Farm in White River; 2 800 000;54 Numbi Road;White River;Farm;;;-25.326269999999965;31.022020000000055;
329;5 Bed House in White River; 2 800 000;White River;White River;House;5;6;;;4
330;4 Bed House in White River; 2 840 000;White River;White River;House;4;4;;;3
331;5 Bed House in White River Central; 2 850 000;White River;White River;House;5;5;;;2
332;6.2 ha Farm in White River Central; 3 150 000;White River;White River;Farm;2;2;;;
333;3 Bed House in White River; 3 195 000;White River;White River;House;3;2.5;;;2
334;4 Bed House in White River; 3 200 000;White River;White River;House;4;2.5;;;2
335;3 Bed House in White River; 3 200 000;White River;White River;House;3;2;;;2
336;3 Bed House in White River; 3 280 000;White River;White River;House;3;3;;;1
337;6.4 ha Farm in White River; 3 500 000;White River;White River;Farm;2;2;;;
338;4 Bed House in White River; 3 500 000;White River;White River;House;4;2;;;2
339;9 Bed House in White River; 3 800 000;White River;White River;House;9;8;;;
340;4 Bed House in White River; 3 955 000;White River;White River;House;4;4;;;3
341;4 Bed House in White River; 3 980 000;White River;White River;House;4;3.5;;;2
342;8 Bed House in White River; 4 150 000;White River;White River;House;8;8;;;2
343;8 Bed House in White River; 4 290 000;White River;White River;House;8;8;;;2
